skills,education,interests,experience,career
kubernetes aws jenkins docker ci cd,BTech CSE,innovation,7,DevOps Engineer
kubernetes aws linux jenkins docker ci cd,BTech CSE,automation,1,DevOps Engineer
aws kubernetes linux docker ci cd,BTech CSE,problem solving,1,DevOps Engineer
jenkins kubernetes docker,MCA,deployment,7,DevOps Engineer
linux jenkins kubernetes docker,MCA,technology,5,DevOps Engineer
python tensorflow nlp deep learning machine learning,MTech AI,innovation,2,AI Engineer
python tensorflow nlp deep learning problem solving llms,MTech AI,problem solving,3,AI Engineer
python nlp sql llms machine learning,BTech CSE,problem solving,5,AI Engineer
python tensorflow nlp deep learning linux communication machine learning,MCA,nlp,5,AI Engineer
python tensorflow deep learning sql llms machine learning,MTech AI,innovation,0,AI Engineer
python tensorflow deep learning docker llms,BTech CSE,technology,5,AI Engineer
python tensorflow nlp linux communication machine learning,MTech AI,automation,1,AI Engineer
tensorflow python nlp llms,BTech CSE,artificial intelligence,1,AI Engineer
tensorflow nlp deep learning llms machine learning,BTech CSE,nlp,8,AI Engineer
python nlp deep learning llms machine learning,BTech CSE,automation,7,AI Engineer
python nlp deep learning problem solving machine learning,BTech CSE,technology,0,AI Engineer
python tensorflow nlp aws deep learning llms machine learning,BTech CSE,problem solving,7,AI Engineer
python tensorflow aws deep learning llms,MTech AI,artificial intelligence,8,AI Engineer
tensorflow nlp aws deep learning problem solving,BTech CSE,problem solving,7,AI Engineer
python tensorflow deep learning docker llms machine learning,BTech CSE,nlp,8,AI Engineer
python tensorflow nlp aws deep learning llms machine learning,BTech CSE,automation,4,AI Engineer
tensorflow python nlp llms,MTech AI,artificial intelligence,6,AI Engineer
sql python machine learning deep learning,BTech CSE,technology,1,AI Engineer
python tensorflow nlp aws deep learning llms machine learning,MCA,technology,6,AI Engineer
python llms deep learning,MCA,technology,0,AI Engineer
python tensorflow nlp deep learning llms machine learning,MTech AI,technology,4,AI Engineer
python tensorflow nlp deep learning sql llms machine learning,BTech CSE,problem solving,0,AI Engineer
python tensorflow nlp deep learning llms machine learning,BTech CSE,innovation,4,AI Engineer
tensorflow nlp deep learning llms machine learning,MTech AI,technology,3,AI Engineer
tensorflow machine learning deep learning problem solving,MTech AI,problem solving,6,AI Engineer
python tensorflow nlp deep learning linux llms machine learning,BTech CSE,artificial intelligence,1,AI Engineer
python tensorflow nlp deep learning machine learning,MCA,problem solving,6,AI Engineer
tensorflow machine learning deep learning,MCA,innovation,3,AI Engineer
python nlp machine learning aws,MCA,problem solving,7,AI Engineer
python tensorflow nlp deep learning llms,MTech AI,problem solving,0,AI Engineer
python tensorflow nlp deep learning machine learning,MCA,innovation,3,AI Engineer
python nlp deep learning problem solving llms,BTech CSE,innovation,0,AI Engineer
tensorflow nlp aws deep learning communication llms machine learning,BTech CSE,automation,3,AI Engineer
nlp llms deep learning,MCA,technology,2,AI Engineer
llms machine learning deep learning problem solving,BTech CSE,artificial intelligence,6,AI Engineer
git nlp llms deep learning,BTech CSE,artificial intelligence,0,AI Engineer
tensorflow llms deep learning problem solving,BTech CSE,nlp,4,AI Engineer
python tensorflow nlp deep learning communication llms,MCA,automation,7,AI Engineer
python tensorflow nlp deep learning communication llms machine learning,BTech CSE,nlp,4,AI Engineer
python tensorflow nlp deep learning llms,BTech CSE,automation,2,AI Engineer
python tensorflow deep learning sql llms machine learning,BTech CSE,problem solving,4,AI Engineer
tensorflow python nlp docker,BTech CSE,problem solving,8,AI Engineer
python tensorflow nlp deep learning git sql llms machine learning,MCA,innovation,7,AI Engineer
python tensorflow communication sql llms,MCA,problem solving,6,AI Engineer
tensorflow python nlp machine learning,MTech AI,innovation,6,AI Engineer
python tensorflow nlp deep learning llms machine learning,BTech CSE,technology,1,AI Engineer
python tensorflow nlp deep learning communication llms machine learning,MTech AI,automation,7,AI Engineer
python tensorflow nlp aws deep learning git llms machine learning,MCA,automation,6,AI Engineer
tensorflow nlp aws communication machine learning,BTech CSE,technology,2,AI Engineer
python tensorflow nlp deep learning llms machine learning,BTech CSE,automation,6,AI Engineer
python nlp deep learning linux llms machine learning,MTech AI,automation,7,AI Engineer
python tensorflow nlp deep learning communication docker llms machine learning,BTech CSE,artificial intelligence,7,AI Engineer
python tensorflow deep learning problem solving communication llms,MCA,nlp,2,AI Engineer
python nlp machine learning linux,BTech CSE,problem solving,6,AI Engineer
python tensorflow nlp problem solving machine learning,MTech AI,automation,1,AI Engineer
tensorflow nlp deep learning,BTech CSE,automation,6,AI Engineer
python tensorflow nlp communication llms,MCA,automation,8,AI Engineer
tensorflow nlp deep learning sql,MTech AI,problem solving,2,AI Engineer
tensorflow nlp machine learning deep learning,BTech CSE,innovation,0,AI Engineer
tensorflow python machine learning deep learning,MCA,automation,7,AI Engineer
python tensorflow deep learning docker machine learning,MTech AI,problem solving,8,AI Engineer
tensorflow python deep learning,MTech AI,problem solving,2,AI Engineer
tensorflow python nlp git,MCA,nlp,0,AI Engineer
python tensorflow nlp deep learning llms machine learning,BTech CSE,artificial intelligence,0,AI Engineer
tensorflow nlp aws deep learning communication llms machine learning,MTech AI,problem solving,8,AI Engineer
tensorflow nlp deep learning llms machine learning,BTech CSE,artificial intelligence,5,AI Engineer
python tensorflow aws problem solving machine learning,MTech AI,artificial intelligence,1,AI Engineer
python tensorflow nlp deep learning llms machine learning,MCA,artificial intelligence,5,AI Engineer
nlp llms machine learning problem solving,MTech AI,technology,0,AI Engineer
python tensorflow nlp deep learning linux docker llms machine learning,MTech AI,problem solving,3,AI Engineer
tensorflow nlp deep learning problem solving docker llms,BTech CSE,technology,0,AI Engineer
tensorflow nlp deep learning problem solving llms machine learning,BTech CSE,nlp,8,AI Engineer
python tensorflow nlp deep learning linux llms machine learning,MCA,automation,2,AI Engineer
python tensorflow nlp deep learning llms machine learning,MTech AI,artificial intelligence,1,AI Engineer
tensorflow deep learning communication docker llms,MCA,automation,4,AI Engineer
python tensorflow nlp deep learning problem solving sql llms machine learning,BTech CSE,nlp,5,AI Engineer
tensorflow nlp machine learning,MCA,innovation,2,AI Engineer
python nlp deep learning llms machine learning,MTech AI,nlp,5,AI Engineer
python tensorflow nlp sql llms machine learning,BTech CSE,nlp,8,AI Engineer
tensorflow nlp communication machine learning,MTech AI,automation,4,AI Engineer
python tensorflow nlp deep learning git communication llms machine learning,MTech AI,technology,3,AI Engineer
python nlp machine learning deep learning,MTech AI,problem solving,2,AI Engineer
python tensorflow deep learning problem solving linux llms machine learning,BTech CSE,problem solving,4,AI Engineer
python tensorflow deep learning linux llms machine learning,BTech CSE,automation,5,AI Engineer
python nlp aws deep learning sql machine learning,MCA,artificial intelligence,5,AI Engineer
nlp deep learning problem solving linux llms machine learning,BTech CSE,technology,5,AI Engineer
tensorflow nlp git docker machine learning,BTech CSE,innovation,8,AI Engineer
tensorflow llms machine learning,MCA,problem solving,6,AI Engineer
tensorflow nlp deep learning,MTech AI,innovation,0,AI Engineer
python tensorflow nlp llms machine learning,MTech AI,automation,8,AI Engineer
python tensorflow deep learning problem solving llms machine learning,BTech CSE,automation,7,AI Engineer
python llms deep learning docker,BTech CSE,automation,8,AI Engineer
python nlp machine learning docker,MTech AI,problem solving,7,AI Engineer
python tensorflow aws docker llms,MTech AI,technology,6,AI Engineer
python tensorflow nlp deep learning linux communication llms machine learning,MCA,technology,6,AI Engineer
python tensorflow linux docker machine learning,BTech CSE,automation,7,AI Engineer
tensorflow nlp aws llms machine learning,BTech CSE,innovation,8,AI Engineer
python nlp deep learning llms machine learning,BTech CSE,automation,0,AI Engineer
tensorflow python nlp problem solving,BTech CSE,nlp,8,AI Engineer
tensorflow machine learning deep learning,MCA,problem solving,8,AI Engineer
node js css problem solving communication react,BCA,innovation,2,Full Stack Developer
node js javascript mongodb express react,BCA,backend,6,Full Stack Developer
node js css javascript mongodb html react,MCA,problem solving,6,Full Stack Developer
python node js javascript react mongodb sql html express css,BCA,backend,5,Full Stack Developer
node js git communication mongodb html express react,MCA,problem solving,7,Full Stack Developer
python node js css aws javascript mongodb html express react,MCA,backend,5,Full Stack Developer
react express css node js,BCA,technology,2,Full Stack Developer
css git javascript mongodb sql html express react,BCA,technology,6,Full Stack Developer
python node js javascript docker express react,BCA,frontend,0,Full Stack Developer
node js javascript react mongodb html express css,BCA,backend,5,Full Stack Developer
javascript communication mongodb html express css,BTech CSE,web development,6,Full Stack Developer
node js aws javascript react html express css,MCA,technology,2,Full Stack Developer
express react node js javascript,BCA,backend,6,Full Stack Developer
node js react mongodb html express css,BCA,innovation,4,Full Stack Developer
node js javascript react mongodb html css,BCA,problem solving,6,Full Stack Developer
node js communication mongodb sql html,MCA,technology,2,Full Stack Developer
git javascript mongodb html express react,BCA,backend,3,Full Stack Developer
node js css javascript mongodb html express react,MCA,technology,7,Full Stack Developer
node js aws problem solving html express css,MCA,problem solving,8,Full Stack Developer
node js css javascript linux mongodb html express react,BCA,backend,6,Full Stack Developer
python node js css communication mongodb html express react,BTech CSE,web development,3,Full Stack Developer
node js aws mongodb express react,BCA,technology,5,Full Stack Developer
node js javascript mongodb html express css,MCA,web development,8,Full Stack Developer
python node js javascript react html express css,MCA,technology,7,Full Stack Developer
node js git javascript react mongodb sql html express css,MCA,backend,1,Full Stack Developer
node js css javascript mongodb html express react,BCA,problem solving,4,Full Stack Developer
react html css mongodb,BTech CSE,backend,0,Full Stack Developer
node js javascript html express react,BTech CSE,technology,1,Full Stack Developer
javascript react mongodb html express css,BTech CSE,backend,2,Full Stack Developer
node js javascript html express css,MCA,innovation,4,Full Stack Developer
python node js javascript react mongodb sql html express css,BCA,frontend,5,Full Stack Developer
react css mongodb javascript,BTech CSE,backend,1,Full Stack Developer
node js problem solving mongodb express css,BCA,problem solving,1,Full Stack Developer
node js javascript linux communication mongodb html react,BTech CSE,problem solving,5,Full Stack Developer
python javascript communication mongodb express react,BCA,web development,7,Full Stack Developer
node js problem solving react mongodb html express css,BTech CSE,problem solving,5,Full Stack Developer
git javascript sql html express react,MCA,technology,6,Full Stack Developer
html express node js,BCA,frontend,7,Full Stack Developer
node js css mongodb html express react,BTech CSE,problem solving,6,Full Stack Developer
node js css javascript linux problem solving mongodb html express react,BTech CSE,backend,1,Full Stack Developer
css linux mongodb sql html express react,BCA,frontend,8,Full Stack Developer
node js problem solving html express react,BCA,web development,8,Full Stack Developer
node js css aws javascript mongodb html express react,BTech CSE,innovation,1,Full Stack Developer
html express node js,BCA,backend,3,Full Stack Developer
aws problem solving javascript mongodb html express,BCA,backend,6,Full Stack Developer
javascript react communication html express css,BCA,problem solving,1,Full Stack Developer
express css mongodb,BTech CSE,problem solving,0,Full Stack Developer
node js git javascript problem solving mongodb html express css,BTech CSE,problem solving,2,Full Stack Developer
node js javascript react communication mongodb html express css,BCA,web development,5,Full Stack Developer
javascript communication mongodb docker html css,BTech CSE,backend,2,Full Stack Developer
html express python javascript,BCA,problem solving,6,Full Stack Developer
node js javascript mongodb docker html express css,MCA,technology,5,Full Stack Developer
python css communication mongodb html react,MCA,web development,6,Full Stack Developer
python node js mongodb sql express css,BCA,frontend,1,Full Stack Developer
node js javascript react mongodb sql html express css,BTech CSE,problem solving,0,Full Stack Developer
html express react javascript,MCA,innovation,5,Full Stack Developer
node js css javascript mongodb html react,BTech CSE,backend,0,Full Stack Developer
node js javascript react linux mongodb express css,BTech CSE,backend,7,Full Stack Developer
express css mongodb javascript,BTech CSE,web development,7,Full Stack Developer
python node js javascript problem solving mongodb react,MCA,technology,4,Full Stack Developer
node js css mongodb docker html react,BTech CSE,innovation,1,Full Stack Developer
node js css javascript mongodb html express react,BTech CSE,frontend,1,Full Stack Developer
react css aws javascript,BTech CSE,frontend,8,Full Stack Developer
node js mongodb docker html express css,BTech CSE,problem solving,5,Full Stack Developer
sql html css mongodb,MCA,backend,6,Full Stack Developer
css javascript linux html express react,BCA,technology,1,Full Stack Developer
node js git javascript mongodb html express css,BCA,backend,0,Full Stack Developer
node js react mongodb sql html express css,MCA,innovation,1,Full Stack Developer
node js git javascript react communication mongodb html express css,MCA,problem solving,2,Full Stack Developer
node js javascript react communication mongodb docker html express css,BCA,web development,3,Full Stack Developer
node js git javascript communication html,BTech CSE,problem solving,4,Full Stack Developer
node js javascript problem solving html express css,MCA,backend,5,Full Stack Developer
node js javascript mongodb html express css,BCA,backend,6,Full Stack Developer
html react mongodb,BTech CSE,backend,5,Full Stack Developer
node js aws javascript mongodb sql html express css,BTech CSE,innovation,1,Full Stack Developer
node js javascript react problem solving mongodb express css,BTech CSE,innovation,1,Full Stack Developer
node js javascript react html css,BTech CSE,problem solving,8,Full Stack Developer
node js css mongodb html express react,MCA,innovation,2,Full Stack Developer
node js javascript problem solving mongodb express css,BTech CSE,technology,0,Full Stack Developer
html node js mongodb javascript,MCA,backend,0,Full Stack Developer
node js css javascript sql html react,BCA,innovation,3,Full Stack Developer
javascript mongodb html express css,BTech CSE,frontend,6,Full Stack Developer
python node js aws javascript html css,BTech CSE,frontend,7,Full Stack Developer
python node js javascript react mongodb html express css,BTech CSE,web development,2,Full Stack Developer
git javascript communication html css,BTech CSE,technology,2,Full Stack Developer
node js git linux mongodb html express css,MCA,backend,5,Full Stack Developer
css html react mongodb,BCA,frontend,7,Full Stack Developer
javascript react mongodb docker express css,BTech CSE,technology,1,Full Stack Developer
python linux javascript html css,MCA,frontend,4,Full Stack Developer
node js javascript communication mongodb docker html express css,BCA,backend,8,Full Stack Developer
node js aws communication express react,BCA,problem solving,0,Full Stack Developer
node js javascript react mongodb html express css,BTech CSE,innovation,7,Full Stack Developer
node js javascript react mongodb html express css,MCA,backend,5,Full Stack Developer
python node js javascript react mongodb html express css,BCA,backend,0,Full Stack Developer
node js javascript react communication mongodb html express css,MCA,problem solving,7,Full Stack Developer
node js css aws javascript mongodb sql html express react,MCA,backend,1,Full Stack Developer
node js css javascript mongodb html express react,BCA,web development,1,Full Stack Developer
node js aws git react express css,MCA,innovation,5,Full Stack Developer
html css mongodb linux,BCA,problem solving,0,Full Stack Developer
css git docker html react,BTech CSE,technology,5,Full Stack Developer
